HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
0010260818,4,Mixed Vegetables,W27012,,,0.0,CASE,135,14.33,,24/15 oz,DRY,14.33,,,,,,,,,,,,,,,1,5.0,20040806.0,,,,,,,,,71.65,,,,,,,,,,,,,,,,,
0010260818,5,"Beans, Pinto",W23017,,,0.0,CASE,135,9.19,,24/15 oz,DRY,9.19,,,,,,,,,,,,,,,1,5.0,20040806.0,,,,,,,,,45.95,,,,,,,,,,,,,,,,,
0010260818,6,"Beans, Black",W23011,,,0.0,CASE,125,11.5,,24/1lb pkg,DRY,11.5,,,,,,,,,,,,,,,1,5.0,20040806.0,,,,,,,,,57.5,,,,,,,,,,,,,,,,,
003001-22844,2,Gardetto Italian mix 6-14oz,12453,,,0.0,CS,22,1.98,CASE,,DRY,0,,,,,,,,,,,,,,,1,2.0,20040806.0,,,,,,,,,3.96,,,,,,,,,,,,,,,,,
003001-22844,3,Drink Pouches 4-10 Pouches,12462,,,0.0,CS,80,3.6,CASE,,DRY,0,,,,,,,,,,,,,,,1,4.0,20040806.0,,,,,,,,,14.4,,,,,,,,,,,,,,,,,
003001-22844,4,Grahams  30 Count,12427,,,0.0,CS,66,1.98,CASE,,DRY,0,,,,,,,,,,,,,,,1,6.0,20040806.0,,,,,,,,,11.88,,,,,,,,,,,,,,,,,
003001-22844,5,Goldfish 24/6.6oz,12480,,,0.0,CS,72,2.16,CASE,,DRY,0,,,,,,,,,,,,,,,1,6.0,20040806.0,,,,,,,,,12.96,,,,,,,,,,,,,,,,,
003001-22844,6,Tropicana Juice 24/14oz,12441,,,0.0,CS,184,4.14,CASE,,REF,0,,,,,,,,,,,,,,,1,8.0,20040806.0,,,,,,,,,33.12,,,,,,,,,,,,,,,,,
003001-22844,7,Cheese Crackers 120/1.38oz,12371,,,0.0,CS,120,2.16,CASE,,DRY,0,,,,,,,,,,,,,,,1,10.0,20040806.0,,,,,,,,,21.6,,,,,,,,,,,,,,,,,
003001-22844,8,Raisnets 36/3.5oz,12437,,,0.0,CS,100,1.8,CASE,,DRY,0,,,,,,,,,,,,,,,1,10.0,20040806.0,,,,,,,,,18,,,,,,,,,,,,,,,,,
003001-22844,9,Caramel Nut Popcorn 36/2.oz (D),12349,,,0.0,CS,105,1.26,CASE,,DRY,0,,,,,,,,,,,,,,,1,15.0,20040806.0,,,,,,,,,18.9,,,,,,,,,,,,,,,,,
